============================ ★ 2分屏 → 3分屏 全过程 [18:29:07.500 ~ 18:29:11.200]
18:29:08.298  hyper_launcher_app                         | : <app-frb-pool-app_launcher::recents::systemui_shared::transition::window_transion_manager:2380>: set_split_dock_animating: true
18:29:08.311  MiuiSplitScreenImpl                        | notifyTaskMultiWindowModeChanged when transition ready: taskId=7703 bounds=Rect(1194, 0 - 2364, 1672) packageName=com.android.contacts windowMode=6 vis=true inMultiW
18:29:08.311  SurfaceFlinger                             | [SF-ColorSample] Transition anim start
18:29:08.312  TransitionImpl                             | top task Task{c9d3142 #7688 type=undefined} is not home, so setCanAbortByRecents = false
18:29:08.312  TransitionControllerImpl                   | assignTrack for opening/desktop transition#180 with playing transition#179, make not sync transition
18:29:08.313  WindowManager                              | Calling onTransitionReady info={id=180 t=TO_FRONT f=0x0 trk=0 r=[0@Point(0, 0)] c=[{WCT{RemoteToken{97782ad Task{520b032 #7705 type=standard A=10245:android.task.cal
18:29:08.313  libbinder.BpBinder                         | Large outgoing transaction of 53228 bytes, interface descriptor android.window.ITransitionPlayer, code 1 was sent
18:29:08.314  Transition                                 | #%d: Condition met too late, already in state=2: {start WCT appliedIGNORED}
18:29:08.314  SchedBoost                                 | handleLowLatencySceneBoost active= false, methodName= startTransition
18:29:08.314  MiuiDecorationHomeController               | relayout::taskId=1, userId=0, visible=true, bounds=Rect(0, 0 - 2364, 1672), focused=true, activityType=2, displayId=0, baseActivity=ComponentInfo{com.miui.home/com.m
18:29:08.314  MiuiDecorationHomeBottom                   | disableMultiStatusBarNavBar needCaption inSoScFullMode.
18:29:08.315  MiuiDecorationHomeController               | relayout::taskId=1, userId=0, visible=true, bounds=Rect(0, 0 - 2364, 1672), focused=true, activityType=2, displayId=0, baseActivity=ComponentInfo{com.miui.home/com.m
18:29:08.315  MiuiDecorationHomeBottom                   | disableMultiStatusBarNavBar needCaption inSoScFullMode.
18:29:08.315  MulWinSwitchSoScStateListener              | onGestureEnd::predictState = -3
18:29:08.315  MulWinSwitchAnimStatus                     | setIsDraggingRecent isDraggingRecent=false
18:29:08.315  MiuiDecorationBase                         | updateSampling_TopCaption: taskId = 7703 scale = 1.0 mTaskBounds = Rect(1194, 0 - 2364, 1672) mCaptionVisibility = true mIsFsgestureEntered = false isRunningAnim = f
18:29:08.315  MiuiDecorationBase                         | updateSampling_BottomCaption: taskId = 7703 scale = 1.0 mTaskBounds = Rect(1194, 0 - 2364, 1672) mCaptionVisibility = true mIsFsgestureEntered = false isRunningAnim 
18:29:08.315  MiuiDecorationBase                         | updateSampling_TopCaption: taskId = 7705 scale = 1.0 mTaskBounds = Rect(0, 0 - 1170, 1672) mCaptionVisibility = true mIsFsgestureEntered = false isRunningAnim = fals
18:29:08.315  MiuiDecorationBase                         | updateSampling_BottomCaption: taskId = 7705 scale = 1.0 mTaskBounds = Rect(0, 0 - 1170, 1672) mCaptionVisibility = true mIsFsgestureEntered = false isRunningAnim = f
18:29:08.315  MultiTaskingTaskRepository                 | needSkip::is sosc root task
18:29:08.315  MultiTaskingTaskRepository                 | putOrUpdateTaskInfo skip putOrUpdate fromOpenTransitionReady=true
18:29:08.315  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7688)
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7688)
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7690)
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7690)
18:29:08.316  MultiTaskingTaskRepository                 | moveMultiWindowTaskToTop taskId=7690
18:29:08.316  MultiTaskingTaskInfo                       | MultiTaskingBaseTaskInfo::update::mTaskBounds = Rect(1194, 0 - 2364, 1672), mTaskId = 7690
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7690)
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7690)
18:29:08.316  MultiTaskingTransitionsHelper              | skip updateBaseAnimParam taskId: 7690 pending: [] readyDuringSync: [] tracks: [Track#0 active=android.os.BinderProxy@e8e7832 ready=[android.os.BinderProxy@9e0f1a7] T
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7690)
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7690)
18:29:08.316  MultiTaskingTaskRepository                 | moveMultiWindowTaskToTop taskId=7703
18:29:08.316  MultiTaskingTaskInfo                       | MultiTaskingBaseTaskInfo::update::mTaskBounds = Rect(1194, 0 - 2364, 1672), mTaskId = 7703
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7703)
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7703)
18:29:08.316  MultiTaskingTransitionsHelper              | skip updateBaseAnimParam taskId: 7703 pending: [] readyDuringSync: [] tracks: [Track#0 active=android.os.BinderProxy@e8e7832 ready=[android.os.BinderProxy@9e0f1a7] T
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7688)
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7688)
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7689)
18:29:08.316  MultiTaskingTaskRepository                 | moveMultiWindowTaskToTop taskId=7689
18:29:08.316  MultiTaskingTaskInfo                       | MultiTaskingBaseTaskInfo::update::mTaskBounds = Rect(0, 0 - 1170, 1672), mTaskId = 7689
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7689)
18:29:08.316  MultiTaskingTransitionsHelper              | skip updateBaseAnimParam taskId: 7689 pending: [] readyDuringSync: [] tracks: [Track#0 active=android.os.BinderProxy@e8e7832 ready=[android.os.BinderProxy@9e0f1a7] T
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7689)
18:29:08.316  MultiTaskingTaskRepository                 | moveMultiWindowTaskToTop taskId=7705
18:29:08.316  MultiTaskingTaskInfo                       | MultiTaskingBaseTaskInfo::update::mTaskBounds = Rect(0, 0 - 1170, 1672), mTaskId = 7705
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7705)
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7705)
18:29:08.316  MultiTaskingTransitionsHelper              | skip updateBaseAnimParam taskId: 7705 pending: [] readyDuringSync: [] tracks: [Track#0 active=android.os.BinderProxy@e8e7832 ready=[android.os.BinderProxy@9e0f1a7] T
18:29:08.316  MulWinSwitchDecorViewModel                 | onTaskChanging taskId:7703 decoration = com.android.wm.shell.multitasking.miuimultiwinswitch.miuiwindowdecor.decoration.MiuiDecorationController@e10008c
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7703)
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7703)
18:29:08.316  OS4FreeFromX                               | TRACE SoScCoord#getSplitSnapPosition()
18:29:08.317  LSPosedFramework                           | (com.android.systemui)[com.abel.os4freeformx,OS4FreeFromX,94a-1a0c37e7ea6-45a-190,0,1] bounds 载入 41 条
18:29:08.317  OS4FreeFromX                               | bounds 载入 41 条
18:29:08.318  MiuiDecorationDot                          | updateCaptionGeometry_TopCaption: taskId=7703 isMultipleSplit=false captionHeight=140 captionOffsetY=0 dotY=70 dotSurfaceHeight=12.0 scale=1.0 mTaskBounds=Rect(1194,
18:29:08.318  LSPosedFramework                           | (com.android.systemui)[com.abel.os4freeformx,OS4FreeFromX,94a-1a0c37e7ea6-45a-191,0,1] 沉浸: task=7703 栏隐藏=true (MiuiDotView#92467638)
18:29:08.318  OS4FreeFromX                               | 沉浸: task=7703 栏隐藏=true (MiuiDotView#92467638)
18:29:08.318  MiuiDecorationBase                         | updateSampling_TopCaption: taskId = 7703 scale = 1.0 mTaskBounds = Rect(1194, 0 - 2364, 1672) mCaptionVisibility = true mIsFsgestureEntered = false isRunningAnim = f
18:29:08.319  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7703)
18:29:08.319  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7703)
18:29:08.319  LSPosedFramework                           | (com.android.systemui)[com.abel.os4freeformx,OS4FreeFromX,94a-1a0c37e7ea6-45a-192,0,1] 沉浸: task=7703 栏隐藏=true (MiuiBottomBarView#122065831)
18:29:08.319  OS4FreeFromX                               | 沉浸: task=7703 栏隐藏=true (MiuiBottomBarView#122065831)
18:29:08.319  MiuiDecorationBase                         | updateSampling_BottomCaption: taskId = 7703 scale = 1.0 mTaskBounds = Rect(1194, 0 - 2364, 1672) mCaptionVisibility = true mIsFsgestureEntered = false isRunningAnim 
18:29:08.319  MulWinSwitchDecorViewModel                 | onTaskChanging taskId:7705 decoration = com.android.wm.shell.multitasking.miuimultiwinswitch.miuiwindowdecor.decoration.MiuiDecorationController@3ad6e5a
18:29:08.319  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7705)
18:29:08.319  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7705)
18:29:08.319  OS4FreeFromX                               | TRACE SoScCoord#getSplitSnapPosition()
18:29:08.319  TransitionChain                            | Can't collect into a chain with no transition
18:29:08.320  MiuiDecorationDot                          | updateCaptionGeometry_TopCaption: taskId=7705 isMultipleSplit=false captionHeight=140 captionOffsetY=0 dotY=70 dotSurfaceHeight=12.0 scale=1.0 mTaskBounds=Rect(0, 0 
18:29:08.320  LSPosedFramework                           | (com.android.systemui)[com.abel.os4freeformx,OS4FreeFromX,94a-1a0c37e7ea6-45a-193,0,1] 沉浸: task=7705 栏隐藏=true (MiuiDotView#5640344)
18:29:08.320  OS4FreeFromX                               | 沉浸: task=7705 栏隐藏=true (MiuiDotView#5640344)
18:29:08.320  MiuiDecorationBase                         | updateSampling_TopCaption: taskId = 7705 scale = 1.0 mTaskBounds = Rect(0, 0 - 1170, 1672) mCaptionVisibility = true mIsFsgestureEntered = false isRunningAnim = fals
18:29:08.320  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7705)
18:29:08.320  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7705)
18:29:08.320  LSPosedFramework                           | (com.android.systemui)[com.abel.os4freeformx,OS4FreeFromX,94a-1a0c37e7ea6-45a-194,0,1] 沉浸: task=7705 栏隐藏=true (MiuiBottomBarView#18627869)
18:29:08.320  OS4FreeFromX                               | 沉浸: task=7705 栏隐藏=true (MiuiBottomBarView#18627869)
18:29:08.320  MiuiDecorationBase                         | updateSampling_BottomCaption: taskId = 7705 scale = 1.0 mTaskBounds = Rect(0, 0 - 1170, 1672) mCaptionVisibility = true mIsFsgestureEntered = false isRunningAnim = f
18:29:08.321  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7689)
18:29:08.321  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7688)
18:29:08.321  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7688)
18:29:08.321  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7690)
18:29:08.321  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7690)
18:29:08.321  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7688)
18:29:08.321  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7688)
18:29:08.321  MultiTaskingTransitionHandler              | canHandleTransition try handler: com.android.wm.shell.multitasking.common.linkage.MultiTaskingLinkageTransition@c37bc50
18:29:08.321  MultiTaskingTransitionHandler              | canHandleTransition try handler: com.android.wm.shell.multitasking.miuifreeform.MiuiFreeformModeAnimation@e226213
18:29:08.321  MultiTaskingTransitionHandler              | canHandleTransition try handler: com.android.wm.shell.multitasking.miuimultiwinswitch.MulWinSwitchTransition@17d2308
18:29:08.321  ShellTransitions                           | getMaybeHandlerType active = (#180) android.os.BinderProxy@9e0f1a7@0, type = 99
18:29:08.321  RecentsTransitionHandler                   | Skip mergeAnimation for multiple tasks
18:29:08.321  TransitionChain                            | Can't collect into a chain with no transition
18:29:08.860  hyper_launcher_app                         | : <1.ui-app_launcher::recents::systemui_shared::transition::window_transion_manager:2554>: update_key_intercept_and_animation called: intercept_home=false, intercept
18:29:08.862  hyper_launcher_app                         | : <window-rt-app_launcher::recents::systemui_shared::transition::window_transion_manager:1935>: WindowTransitionManager finish
18:29:08.862  hyper_launcher_app                         | : <window-rt-app_launcher::recents::systemui_shared::transition::window_transion_manager:1953>: finish_remote_transition to_home = false token = -1
18:29:08.862  hyper_launcher_app                         | : <window-rt-app_launcher::recents::systemui_shared::transition::window_transion_manager:1998>: update_key_intercept_and_animation called: intercept_home=false, inte
18:29:08.862  hyper_launcher_app                         | : <window-rt-app_launcher::recents::systemui_shared::transition::window_transion_manager:460>: try_finish_with_merge_and_timeout skipped: merge_back_break_open_anim_
18:29:08.862  hyper_launcher_app                         | : <window-rt-app_launcher::recents::systemui_shared::transition::window_transion_manager:416>: cleanup_remote_transition to_home = false
18:29:08.862  hyper_launcher_app                         | : <window-rt-app_launcher::recents::systemui_shared::transition::window_transion_manager:2393>: [RecentsActivity] set_entering_split_screen: false
18:29:08.862  hyper_launcher_app                         | : <window-rt-app_launcher::recents::systemui_shared::transition::window_transition_callback_helper:592>: WindowTransitionCallbackHelper execute_finish_callback route
18:29:08.862  hyper_launcher_app                         | : <window-rt-app_launcher::recents::systemui_shared::transition::window_transition_callback_helper:621>: WindowTransitionCallbackHelper execute_finish_callback_for_m
18:29:08.862  hyper_launcher_app                         | : <window-rt-app_launcher::recents::systemui_shared::transition::window_transition_callback_helper:998>: WindowTransitionCallbackHelper abcd set_will_finish_to_home 
18:29:08.862  hyper_launcher_app                         | : <window-rt-app_launcher::recents::systemui_shared::transition::window_transition_callback_helper:1010>: WindowTransitionCallbackHelper abcd reorder_app_if_need， to
18:29:08.862  hyper_launcher_app                         | : <window-rt-app_launcher::recents::systemui_shared::transition::window_transition_callback_helper:1561>: WindowTransitionCallbackHelper clear_transition_leashes
18:29:08.862  hyper_launcher_app                         | : <window-rt-app_launcher::recents::systemui_shared::transition::window_transition_callback_helper:710>: WindowTransitionCallbackHelper onlyFinishRecentsIfNeeded to_
18:29:08.863  MiuiFreeFormManagerService                 | getAllFreeFormStackInfosOnDisplay list=0
18:29:08.863  RecentsTransitionHandler                   | finishInner toHome:false returningToApp:true mState:0 mKeyguardLocked:false mRecentsTask:WCT{android.os.BinderProxy@361d1fb} mPausingTasks:[WCT{android.os.BinderProx
18:29:08.863  ShellSplitScreen                           | onRecentsInSplitAnimationFinish: returnToApp=true
18:29:08.863  SoScStageCoordinator                       | onRecentsInSplitAnimationFinish
18:29:08.863  ShellSplitScreen                           | updateSurfaceBounds: topLeftStage=Rect(0, 0 - 1170, 1672) bottomRightStage=Rect(1194, 0 - 2364, 1672)
18:29:08.864  SoScUtils                                  | Update divider bg visible from false to:true, com.android.wm.shell.sosc.SoScStageCoordinator.onRecentsInSplitAnimationFinishing:169 com.android.wm.shell.transition.D
18:29:08.864  OS4FreeFromX                               | TRACE SoScCoord#setDividerVisibility(true, android.view.SurfaceControl$Transaction@405bbec)
18:29:08.864  SoScStageCoordinator                       | setDividerVisibility visible:true mDividerVisible:true, com.android.wm.shell.sosc.SoScStageCoordinator.onRecentsInSplitAnimationFinishing:172 com.android.wm.shell.tr
18:29:08.864  SoScStageCoordinator                       | continueUpdateSoScState mDeferUpdateSoScMiniModeCount:0com.android.wm.shell.sosc.SoScStageCoordinator.onRecentsInSplitAnimationFinishing:184 com.android.wm.shell.tra
18:29:08.864  OS4FreeFromX                               | TRACE SoScCoord#updateLocalDividerFixed(false)
18:29:08.864  MiuiFreeFormManager                        | showFreeFormGuideDialog frequency out
18:29:08.864  OS4FreeFromX                               | TRACE SoScCoord#getSplitSnapPosition()
18:29:08.865  hyper_launcher_app                         | : <app-frb-pool-app_launcher::recents::base_recents_impl:1748>: restore_gesture_state_for_home_exit: home activity - half_split_not_min=false, half_split_min=false, 
18:29:08.867  LSPosedFramework                           | (com.android.systemui)[com.abel.os4freeformx,OS4FreeFromX,94a-1a0c37e7ea6-45a-195,0,1] bounds 载入 41 条
18:29:08.867  OS4FreeFromX                               | bounds 载入 41 条
18:29:08.867  SoScStageCoordinator                       | updateSoScState mainStageHasChildren:true sideStageHasChildren:true supportSoScMinimizedMode:false mSideStagePosition:1 mSoScState:2 -> 2 mMinimized:false -> false m
18:29:08.867  WindowManagerShell                         | PipDesktopState: Recents transition state changed: TRANSITION_STATE_NOT_RUNNING
18:29:08.867  ShellSplitScreen                           | onTransitionAnimationComplete
18:29:08.867  MultiTaskingTaskRepository                 | try to update multiTaskingTaskInfo taskInfo taskId = 7689
18:29:08.867  MultiTaskingTaskInfo                       | MultiTaskingBaseTaskInfo::update::mTaskBounds = Rect(0, 0 - 1170, 1672), mTaskId = 7689
18:29:08.867  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7689)
18:29:08.867  MultiTaskingTaskRepository                 | try to update multiTaskingTaskInfo taskInfo taskId = 7690
18:29:08.867  MultiTaskingTaskInfo                       | MultiTaskingBaseTaskInfo::update::mTaskBounds = Rect(1194, 0 - 2364, 1672), mTaskId = 7690
18:29:08.867  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7690)
18:29:08.867  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7690)
18:29:08.868  MultiTaskingTaskRepository                 | try to update multiTaskingTaskInfo taskInfo taskId = 7703
18:29:08.868  MultiTaskingTaskInfo                       | MultiTaskingBaseTaskInfo::update::mTaskBounds = Rect(1194, 0 - 2364, 1672), mTaskId = 7703
18:29:08.868  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7703)
18:29:08.868  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7703)
18:29:08.868  MultiTaskingTaskRepository                 | try to update multiTaskingTaskInfo taskInfo taskId = 7705
18:29:08.868  MultiTaskingTaskInfo                       | MultiTaskingBaseTaskInfo::update::mTaskBounds = Rect(0, 0 - 1170, 1672), mTaskId = 7705
18:29:08.868  OS4FreeFromX                               | TRACE SoScCoord#isMainStageRootTask(7705)
18:29:08.868  OS4FreeFromX                               | TRACE SoScCoord#isSideStageRootTask(7705)
18:29:08.868  MultiTaskingTransitionsHelper              | skip updateBaseAnimParam, transitions not idle. pending: [] readyDuringSync: [] tracks: [Track#0 ready=[android.os.BinderProxy@9e0f1a7] Track#1 ]
18:29:08.868  MultiTaskingTransitionObserver             | onTransitionFinished::mRunningTransitions = 1 mRemoteOpenFreeformTransitions = []
18:29:08.868  SoScUtils                                  | monitorTransitionFinished transition:android.os.BinderProxy@e8e7832 transaction: android.view.SurfaceControl$Transaction@8a7e57e mRequestCloseTransition:null mReques
18:29:08.868  OS4FreeFromX                               | TRACE SoScCoord#getDividerLeash()
18:29:08.868  SurfaceFlinger                             | [SF-ColorSample] Transition anim end
18:29:08.869  ActivityTaskManager                        | moveTaskToFront: Task{8d4918c #7703 type=standard A=10116:android.task.contacts} caller trace:com.android.server.wm.TaskDisplayArea.onTaskMoved:434 com.android.serve
18:29:08.870  ActivityTaskManager                        | moveTaskToFront: Task{520b032 #7705 type=standard A=10245:android.task.calendar} caller trace:com.android.server.wm.TaskDisplayArea.onTaskMoved:434 com.android.serve
18:29:08.872  AssistantOverlayWindow                     | gestureTrace event=hideOverlay flags=0 uptime=89823029 resumeNow=true showing=false started=true opened=false scrolling=false paused=false focus=false acceptExternal
18:29:08.873  SurfaceFlinger                             | [SF-ColorSample] Transition anim end
18:29:08.873  TransitionImpl                             | stop APP Switch:179
18:29:08.873  TransitionImpl                             | finishTransition: updateLastSurfacePosition tf=Task{873d0a #2 type=home I=com.miui.home/.launcher.Launcher}
18:29:08.873  TransitionImpl                             | finishTransition: updateLastSurfacePosition tf=Task{520b032 #7705 type=standard A=10245:android.task.calendar}
18:29:08.873  TransitionImpl                             | finishTransition: updateLastSurfacePosition tf=Task{8d4918c #7703 type=standard A=10116:android.task.contacts}
18:29:08.873  TransitionImpl                             | finishTransition: updateLastSurfacePosition tf=Task{991f58e #1 type=home}
18:29:08.874  MiuiMirrorInputMethodImpl                  | InsetsControlTarget invalid!:Window{8e61081 u0 com.android.calendar/com.android.calendar.homepage.AllInOneActivity}
18:29:08.874  ActivityStarterImpl                        | set mLastRecentsTransition: 
18:29:08.875  RemoteTransitionHandlerStubImpl            | invokeAndRemoveWctCB transition is null, curWctCB: null
